1.18,2.33,3.49,3.9,3.11,2.04,1.7,1.1,0.0
1.88,1.52,2.26,5.15,5.05,1.79,2.04,1.2,0.0
2.24,1.88,2.31,3.29,3.91,2.11,1.4,1.34,0.0
1.3,1.66,2.19,3.49,5.4,1.79,1.32,1.41,0.0
1.32,1.61,2.61,2.21,4.39,1.77,1.45,0.87,0.0
1.52,1.43,2.91,2.85,5.67,2.14,1.28,1.53,0.0
1.32,1.79,2.72,3.22,3.26,1.97,1.84,1.4,0.0
1.73,1.58,2.94,3.52,4.74,1.66,1.32,1.1,0.0
1.16,1.34,1.75,3.73,5.6,1.84,1.45,1.12,0.0
1.12,1.58,1.7,2.58,2.93,1.58,1.75,1.28,0.0
1.3,1.4,2.76,4.28,4.22,1.6,1.86,1.5,0.0
1.73,1.79,3.01,2.26,6.12,1.24,1.86,1.43,0.0
1.36,1.79,2.53,3.07,4.22,1.53,1.48,1.41,0.0
1.1,1.45,2.76,3.24,3.84,2.02,1.69,1.38,0.0
1.1,1.41,2.14,2.56,2.97,2.16,1.6,1.53,0.0
